series_type,date,overall,supply_agri,supply_mining,supply_manufacturing,supply_construction,supply_services,supply_import_duties,demand_c,demand_g,demand_i,demand_x,demand_m,demand_nx,demand_inventory
real_sa,2015-01-01,289405,23709,26270,64384,13483,158444,3115,156534,37301,76314,199909,178546,21363,-2107
real_sa,2015-04-01,293440,25047,25877,65578,13483,159706,3750,157064,37571,75372,201521,178030,23491,-58
real_sa,2015-07-01,295320,25003,25643,65742,13919,161164,3850,159193,38674,76247,206897,185053,21844,-638
real_sa,2015-10-01,298775,23780,25269,66676,14497,164569,3984,162309,40475,76491,209043,187149,21894,-2394
real_sa,2016-01-01,301541,23103,25983,67202,14559,166736,3957,164470,38154,76172,201878,182798,19080,3665
real_sa,2016-04-01,305570,23541,26465,68092,14688,168860,3923,166710,39478,79983,205743,182951,22792,-3393
real_sa,2016-07-01,308986,23850,26348,68515,15032,171176,4066,169002,39358,77467,206464,182385,24079,-920
real_sa,2016-10-01,313215,23483,26572,70090,15228,173789,4053,172079,38650,78567,214071,191095,22976,943
real_sa,2017-01-01,318402,24361,26429,71196,15591,176574,4250,175569,40782,83712,222854,207938,14916,3423
real_sa,2017-04-01,323144,24776,26232,72213,15880,179688,4354,178319,41139,82323,224503,200161,24342,-2979
real_sa,2017-07-01,327941,24772,26996,73183,15947,182329,4714,180911,41013,82547,228309,204052,24257,-787
real_sa,2017-10-01,331282,25599,26181,73871,16103,184770,4758,183903,41515,82511,224398,202420,21978,1375
real_sa,2018-01-01,335826,25129,25928,75041,16452,188364,4912,187865,40844,83535,228143,203974,24169,-587
real_sa,2018-04-01,340482,24335,25884,76183,16810,192865,4405,193454,42514,84187,230269,209425,20844,-517
real_sa,2018-07-01,342809,24496,25709,76836,16762,195849,3158,197213,43112,85124,229630,208638,20992,-3632
real_sa,2018-10-01,344650,25677,26036,76782,16171,195912,4071,197521,43560,82747,229421,204657,24764,-3942
real_sa,2019-01-01,349838,26667,25783,77913,16477,199022,3976,200386,42987,80164,227381,198290,29091,-2790
real_sa,2019-04-01,359011,25174,26330,80026,17078,206162,4240,211220,42795,83989,229974,204085,25889,-4882
real_sa,2019-07-01,360555,25261,25435,79851,16869,208842,4296,212912,43032,83279,228421,203023,25398,-4066
real_sa,2019-10-01,354549,24471,25340,78492,16028,206551,3667,211197,43846,81103,222101,201553,20548,-2145
real_sa,2020-01-01,350298,24315,24694,78415,15266,204178,3429,213039,44576,75130,211425,194395,17030,523
real_sa,2020-04-01,298748,25320,21270,65773,9522,173364,3499,175082,43027,59419,180438,165413,15025,6195
real_sa,2020-07-01,353212,25166,23807,83121,15016,202075,4027,210454,46456,74723,219067,186863,32204,-10625
real_sa,2020-10-01,343991,24308,23109,80297,13812,198075,4390,204173,45662,71904,219227,196416,22811,-559
real_sa,2021-01-01,348640,24398,23784,83243,13620,199482,4113,207595,47316,71955,235872,217801,18071,3703
real_sa,2021-04-01,347653,24881,23988,83727,13249,197696,4111,196930,48026,69875,246547,223516,23031,9791
real_sa,2021-07-01,338399,24591,22985,82165,12007,193146,3505,202014,47498,67027,243328,222811,20517,1343
real_sa,2021-10-01,355655,25132,22990,87466,12069,204113,3886,210724,48417,69708,258170,236291,21879,4927
real_sa,2022-01-01,364320,24509,23175,88429,12766,211468,3973,218007,50326,71674,264613,252424,12189,12124
real_sa,2022-04-01,379179,24219,23598,91620,13540,221934,4269,233653,49192,74126,285575,268120,17455,4753
real_sa,2022-07-01,387422,24884,25078,93223,13879,226015,4343,231914,50519,75964,295946,270085,25861,3164
real_sa,2022-10-01,380719,25392,24484,90823,13316,222521,4184,225862,49992,76036,280704,253706,26998,1831
real_sa,2023-01-01,384301,24763,23699,91279,13702,226445,4413,230457,49121,75002,255779,235910,19869,9852
real_sa,2023-04-01,390236,23873,23068,91796,14362,232583,4553,244129,51070,78516,258737,242078,16659,-138
real,2015-01-01,282255,21691,26879,62333,13728,154469,3154,154769,32731,74978,196992,174240,22752,-2976
real,2015-04-01,288975,24001,25729,65695,12927,156945,3678,154020,34967,77560,195711,175303,20408,2021
real,2015-07-01,297965,27685,24260,65851,14332,162177,3660,164632,35910,76447,209491,186442,23049,-2072
real,2015-10-01,307745,24161,26191,68500,14395,170292,4207,161678,50413,75438,215176,192793,22383,-2168
real,2016-01-01,294329,21208,26586,65146,14825,162558,4006,162611,33638,75036,198934,178409,20525,2519
real,2016-04-01,301015,22617,26313,68160,14083,165993,3848,163474,36916,82265,199813,180168,19645,-1285
real,2016-07-01,311510,26404,24927,68630,15478,172206,3865,174771,36718,77891,209054,183775,25279,-3149
real,2016-10-01,322458,23748,27542,71962,15121,179805,4280,171404,48367,76999,220354,196878,23476,2212
real,2017-01-01,310744,22608,26845,69022,15832,172090,4348,173330,36245,82183,218683,201682,17001,1985
real,2017-04-01,318231,23644,26187,72242,15253,176593,4312,174884,38211,85477,218491,197549,20942,-1283
real,2017-07-01,330664,27266,25500,73442,16431,183517,4509,187229,38257,83028,231256,206192,25064,-2914
real,2017-10-01,341129,25990,27305,75758,16006,191161,4908,183258,51737,80405,231634,209148,22486,3244
real,2018-01-01,327096,23298,26189,72643,16604,183367,4995,184720,36399,82365,223747,197630,26117,-2505
real,2018-04-01,333438,23292,25853,75745,15985,188290,4272,188796,39451,86934,222888,204803,18085,172
real,2018-07-01,345685,27089,24238,77131,17206,196947,3074,203884,40265,85388,232375,211003,21372,-5223
real,2018-10-01,357547,25958,27277,79324,16399,204386,4204,198654,53915,80905,238452,213258,25194,-1121
real,2019-01-01,342373,24707,26216,75627,16704,195144,3976,199022,38559,79544,224409,194491,29918,-4670
real,2019-04-01,349910,24266,26483,79005,16161,199852,4142,203545,39461,86419,224133,200173,23960,-3475
real,2019-07-01,361117,28082,23567,79922,16967,208474,4106,218309,40413,82219,228652,204005,24647,-4470
real,2019-10-01,370552,24519,26622,81729,16620,217106,3956,214839,54226,80354,230684,208283,22401,-1267
real,2020-01-01,344690,22532,25460,76635,15377,201339,3347,213285,40624,76020,208782,190703,18079,-3317
real,2020-04-01,290686,24421,21387,64343,9003,168097,3435,166551,39709,61358,175905,163061,12844,10222
real,2020-07-01,352137,27938,22009,82446,14890,201009,3844,214653,43587,72873,219086,188050,31036,-10012
real,2020-10-01,358736,24218,24023,84182,14346,207248,4720,208258,55801,70924,226383,201273,25110,-1357
real,2021-01-01,344005,22596,24630,81710,13786,197305,3978,209899,43448,73623,233326,213952,19374,-2340
real,2021-04-01,337770,24090,24073,81543,12639,191355,4068,185946,44201,71446,240971,220628,20343,15833
real,2021-07-01,337286,27356,21207,81697,11843,191818,3365,205904,44707,65078,243357,224190,19167,2430
real,2021-10-01,371583,24958,23807,91889,12620,214074,4235,216007,58911,68835,266440,241746,24694,3137
real,2022-01-01,360603,22610,24087,87181,12945,209973,3808,221127,46434,73732,262090,248324,13766,5544
real,2022-04-01,367444,23526,23666,89039,12953,214034,4228,219889,45223,75562,279313,264879,14434,12337
real,2022-07-01,384884,27697,23133,92399,13655,223829,4171,236283,47596,73626,295779,271599,24180,3200
real,2022-10-01,398008,25240,25314,95513,13889,233475,4577,231675,60690,74895,289478,259116,30362,384
real,2023-01-01,380966,22834,24675,89996,13906,225342,4211,234126,45431,77324,253500,232247,21253,2832
real,2023-04-01,377927,23274,23128,89151,13759,224105,4510,229364,46922,79741,253154,239253,13901,7999
nominal,2015-01-01,281643,21764,27716,62217,13728,153066,3151,152097,32733,75576,193829,170162,23667,-2431
nominal,2015-04-01,288307,24404,25913,65081,12927,156236,3747,154317,34963,77719,194754,176221,18533,2776
nominal,2015-07-01,297422,26956,23605,66415,14332,162493,3621,165970,35949,75995,209068,187481,21587,-2080
nominal,2015-10-01,309569,24415,25825,68667,14395,172087,4180,162715,50375,75133,219720,194914,24806,-3460
nominal,2016-01-01,295016,22021,26110,64368,15250,163132,4136,164480,33926,77252,197024,179335,17689,1670
nominal,2016-04-01,303738,25438,25609,67390,14455,166798,4048,166337,37213,84201,199691,183403,16288,-301
nominal,2016-07-01,316737,29824,23625,68378,15866,175095,3948,178505,37095,79108,209549,186547,23002,-973
nominal,2016-10-01,334206,28472,28614,72260,15518,184945,4398,175358,48790,78335,228227,202077,26150,5574
nominal,2017-01-01,328713,27748,32141,70892,16659,176612,4661,182571,37063,86106,231567,212255,19312,3661
